SrNo,Parameter,Unit,Date,Value,Data Source,Location,Latitude,Longitude
1,pH,-,"[01-01-2018, 31-01-2018]",6.6,CPCB 2018,Sector 83,30.658143,76.724407
2,Conductivity,µs/cm,"[01-01-2018, 31-01-2018]",644,CPCB 2018,Sector 83,30.658143,76.724407
3,DO,mg/l,"[01-01-2018, 31-01-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
4,COD,mg/l,"[01-01-2018, 31-01-2018]",261,CPCB 2018,Sector 83,30.658143,76.724407
5,BOD,mg/l,"[01-01-2018, 31-01-2018]",161,CPCB 2018,Sector 83,30.658143,76.724407
6,NO3-N,mg/l,"[01-01-2018, 31-01-2018]",5.9,CPCB 2018,Sector 83,30.658143,76.724407
7,NH3-N,mg/l,"[01-01-2018, 31-01-2018]",23,CPCB 2018,Sector 83,30.658143,76.724407
8,Phosphate,mg/l,"[01-01-2018, 31-01-2018]",2.55,CPCB 2018,Sector 83,30.658143,76.724407
9,TSS,mg/l,"[01-01-2018, 31-01-2018]",100,CPCB 2018,Sector 83,30.658143,76.724407
10,TDS,mg/l,"[01-01-2018, 31-01-2018]",326,CPCB 2018,Sector 83,30.658143,76.724407
11,FS,mg/l,"[01-01-2018, 31-01-2018]",267,CPCB 2018,Sector 83,30.658143,76.724407
12,Turbidity,NTU,"[01-01-2018, 31-01-2018]",110,CPCB 2018,Sector 83,30.658143,76.724407
13,TH as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",190,CPCB 2018,Sector 83,30.658143,76.724407
14,Ca as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",118,CPCB 2018,Sector 83,30.658143,76.724407
15,Mg as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",72,CPCB 2018,Sector 83,30.658143,76.724407
16,Sulphate,mg/l,"[01-01-2018, 31-01-2018]",66,CPCB 2018,Sector 83,30.658143,76.724407
17,Chloride,mg/l,"[01-01-2018, 31-01-2018]",42,CPCB 2018,Sector 83,30.658143,76.724407
18,Total alkalinity as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",260,CPCB 2018,Sector 83,30.658143,76.724407
19,P-Alkalinity,mg/l,"[01-01-2018, 31-01-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
20,Fluoride,mg/l,"[01-01-2018, 31-01-2018]",0.28,CPCB 2018,Sector 83,30.658143,76.724407
21,Colour,Hazen,"[01-01-2018, 31-01-2018]",30,CPCB 2018,Sector 83,30.658143,76.724407
22,Boron(B),mg/l,"[01-01-2018, 31-01-2018]",0.19,CPCB 2018,Sector 83,30.658143,76.724407
23,TKN,mg/l,"[01-01-2018, 31-01-2018]",4.2,CPCB 2018,Sector 83,30.658143,76.724407
24,Potassium,mg/l,"[01-01-2018, 31-01-2018]",7,CPCB 2018,Sector 83,30.658143,76.724407
25,Sodium,mg/l,"[01-01-2018, 31-01-2018]",23,CPCB 2018,Sector 83,30.658143,76.724407
26,Total Coliform,MPN/100ml,"[01-01-2018, 31-01-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
27,Faecal Coliform,MPN/100ml,"[01-01-2018, 31-01-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
28,pH,-,"[01-02-2018, 28-02-2018]",6.9,CPCB 2018,Sector 83,30.658143,76.724407
29,Conductivity,µs/cm,"[01-02-2018, 28-02-2018]",551,CPCB 2018,Sector 83,30.658143,76.724407
30,DO,mg/l,"[01-02-2018, 28-02-2018]",0.6,CPCB 2018,Sector 83,30.658143,76.724407
31,COD,mg/l,"[01-02-2018, 28-02-2018]",261,CPCB 2018,Sector 83,30.658143,76.724407
32,BOD,mg/l,"[01-02-2018, 28-02-2018]",117,CPCB 2018,Sector 83,30.658143,76.724407
33,NO3-N,mg/l,"[01-02-2018, 28-02-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
34,NH3-N,mg/l,"[01-02-2018, 28-02-2018]",17,CPCB 2018,Sector 83,30.658143,76.724407
35,Phosphate,mg/l,"[01-02-2018, 28-02-2018]",2.05,CPCB 2018,Sector 83,30.658143,76.724407
36,TSS,mg/l,"[01-02-2018, 28-02-2018]",149,CPCB 2018,Sector 83,30.658143,76.724407
37,TDS,mg/l,"[01-02-2018, 28-02-2018]",259,CPCB 2018,Sector 83,30.658143,76.724407
38,FS,mg/l,"[01-02-2018, 28-02-2018]",269,CPCB 2018,Sector 83,30.658143,76.724407
39,Turbidity,NTU,"[01-02-2018, 28-02-2018]",160,CPCB 2018,Sector 83,30.658143,76.724407
40,TH as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",206,CPCB 2018,Sector 83,30.658143,76.724407
41,Ca as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",100,CPCB 2018,Sector 83,30.658143,76.724407
42,Mg as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",106,CPCB 2018,Sector 83,30.658143,76.724407
43,Sulphate,mg/l,"[01-02-2018, 28-02-2018]",72,CPCB 2018,Sector 83,30.658143,76.724407
44,Chloride,mg/l,"[01-02-2018, 28-02-2018]",45,CPCB 2018,Sector 83,30.658143,76.724407
45,Total alkalinity as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",208,CPCB 2018,Sector 83,30.658143,76.724407
46,P-Alkalinity,mg/l,"[01-02-2018, 28-02-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
47,Fluoride,mg/l,"[01-02-2018, 28-02-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
48,Colour,Hazen,"[01-02-2018, 28-02-2018]",20,CPCB 2018,Sector 83,30.658143,76.724407
49,Boron(B),mg/l,"[01-02-2018, 28-02-2018]",0.21,CPCB 2018,Sector 83,30.658143,76.724407
50,TKN,mg/l,"[01-02-2018, 28-02-2018]",4.7,CPCB 2018,Sector 83,30.658143,76.724407
51,Potassium,mg/l,"[01-02-2018, 28-02-2018]",9,CPCB 2018,Sector 83,30.658143,76.724407
52,Sodium,mg/l,"[01-02-2018, 28-02-2018]",27,CPCB 2018,Sector 83,30.658143,76.724407
53,Total Coliform,MPN/100ml,"[01-02-2018, 28-02-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
54,Faecal Coliform,MPN/100ml,"[01-02-2018, 28-02-2018]",,CPCB 2018,Sector 83,30.658143,76.724407
55,pH,-,"[01-03-2018, 31-03-2018]",7.1,CPCB 2018,Sector 83,30.658143,76.724407
56,Conductivity,µs/cm,"[01-03-2018, 31-03-2018]",668,CPCB 2018,Sector 83,30.658143,76.724407
57,DO,mg/l,"[01-03-2018, 31-03-2018]",1,CPCB 2018,Sector 83,30.658143,76.724407
